logical clock,global time,event type,queue length
1,1,send,0
4,1,receive,0
7,2,receive,0
8,2,internal,0
10,3,receive,2
11,3,receive,1
12,4,receive,2
15,4,receive,1
17,5,receive,1
21,5,receive,0
27,6,receive,0
29,6,receive,0
32,7,receive,0
33,7,internal,0
36,8,receive,2
37,8,receive,2
38,9,receive,1
39,9,receive,2
43,10,receive,2
44,10,receive,1
45,11,receive,2
50,11,receive,2
51,12,receive,1
53,12,receive,1
57,13,receive,0
58,13,internal,0
65,14,receive,2
66,14,receive,1
67,15,receive,1
70,15,receive,0
75,16,receive,0
78,16,receive,0
81,17,receive,0
82,17,internal,0
83,18,send,0
88,18,receive,1
89,19,receive,1
90,19,receive,0
94,20,receive,1
95,20,receive,1
97,21,receive,2
99,21,receive,1
101,22,receive,2
104,22,receive,1
105,23,receive,2
109,23,receive,1
111,24,receive,0
117,24,receive,0
119,25,receive,0
123,25,receive,0
125,26,receive,0
128,26,receive,0
129,27,internal,0
130,27,send,0
135,28,receive,0
138,28,receive,0
139,29,receive,0
140,29,internal,0
141,30,send,0
142,30,internal,0
149,31,receive,0
153,31,receive,0
155,32,receive,0
156,32,internal,0
159,33,receive,1
160,33,receive,1
163,34,receive,0
166,34,receive,0
169,35,receive,0
173,35,receive,1
174,36,receive,0
177,36,receive,1
178,37,receive,2
179,37,receive,3
180,38,receive,3
182,38,receive,2
183,39,receive,2
185,39,receive,2
189,40,receive,2
191,40,receive,2
195,41,receive,2
196,41,receive,2
200,42,receive,2
202,42,receive,2
205,43,receive,1
206,43,receive,1
212,44,receive,1
213,44,receive,0
214,45,send,0
222,45,receive,0
224,46,receive,1
225,46,receive,1
226,47,receive,2
230,47,receive,2
231,48,receive,1
232,48,receive,0
233,49,internal,0
241,49,receive,0
243,50,receive,0
244,50,internal,0
245,51,internal,0
246,51,send,0
254,52,receive,0
255,52,send,0
256,53,internal,0
260,53,receive,0
263,54,receive,2
264,54,receive,4
265,55,receive,3
266,55,receive,4
267,56,receive,3
268,56,receive,2
270,57,receive,1
271,57,receive,1
282,58,receive,2
283,59,receive,4
284,59,receive,3
286,60,receive,3
287,60,receive,3
288,61,receive,2
