logical clock,global time,event type,queue length
0.2,0,internal,0
0.3,1,internal,0
0.5,1,send,0
0.7,1,internal,0
0.8,1,internal,0
1.0,1,send,0
1.2,1,internal,0
1.3,2,internal,0
1.5,2,internal,0
1.7,2,send,0
1.8,2,send,0
2.0,2,send,0
2.2,2,internal,0
2.3,3,internal,0
2.5,3,internal,0
2.7,3,internal,0
2.8,3,internal,0
3.0,3,internal,0
3.2,3,internal,0
3.3,4,internal,0
3.5,4,internal,0
3.7,4,send,0
3.8,4,send,0
4.0,4,send,0
4.2,4,internal,0
4.3,5,internal,0
4.5,5,internal,0
4.7,5,internal,0
4.8,5,internal,0
5.0,5,internal,0
5.2,5,internal,0
5.3,6,internal,0
5.5,6,internal,0
5.7,6,internal,0
5.8,6,internal,0
6.0,6,receive,0
6.2,6,internal,0
6.3,7,send,0
6.5,7,internal,0
6.7,7,internal,0
6.8,7,internal,0
7.0,7,internal,0
7.2,7,internal,0
7.3,8,internal,0
7.5,8,internal,0
7.7,8,internal,0
7.8,8,internal,0
8.0,8,internal,0
8.2,8,send,0
8.3,9,internal,0
8.5,9,send,0
8.7,9,receive,0
8.8,9,send,0
9.0,9,internal,0
9.2,10,internal,0
9.3,10,send,0
9.5,10,internal,0
9.7,10,internal,0
9.8,10,internal,0
10.0,10,send,0
10.2,11,internal,0
10.3,11,internal,0
10.5,11,internal,0
10.7,11,internal,0
10.8,11,internal,0
11.0,11,internal,0
11.2,12,send,0
11.3,12,internal,0
11.5,12,internal,0
11.7,12,receive,0
11.8,12,internal,0
12.0,12,send,0
12.2,13,send,0
12.3,13,send,0
12.5,13,internal,0
12.7,13,send,0
12.8,13,send,0
13.0,13,internal,0
13.2,14,internal,0
13.3,14,internal,0
13.5,14,internal,0
13.7,14,internal,0
13.8,14,internal,0
14.0,14,internal,0
14.2,15,internal,0
14.3,15,receive,0
14.5,15,internal,0
14.7,15,receive,0
14.8,15,internal,0
15.0,15,internal,0
15.2,16,internal,0
15.3,16,internal,0
15.5,16,internal,0
15.7,16,internal,0
15.8,16,internal,0
16.0,17,internal,0
