logical clock,global time,event type,queue length
1,0,send,0
3,1,receive,0
4,1,internal,0
5,1,send,0
6,2,internal,0
7,2,send,0
8,2,send,0
9,3,internal,0
10,3,internal,0
16,3,receive,0
17,4,internal,0
18,4,receive,0
19,5,internal,0
22,5,receive,0
23,5,internal,0
25,6,receive,0
26,6,receive,0
29,6,receive,0
30,7,internal,0
31,7,internal,0
32,7,internal,0
35,8,receive,0
36,8,internal,0
37,8,send,0
38,9,send,0
39,9,send,0
44,9,receive,0
46,10,receive,0
47,10,receive,0
48,10,send,0
49,11,internal,0
50,11,internal,0
51,11,send,0
52,12,internal,0
53,12,internal,0
54,12,internal,0
55,13,internal,0
56,13,internal,0
61,13,receive,0
62,14,internal,0
64,14,receive,0
65,14,send,0
66,15,receive,1
67,15,receive,1
72,15,receive,1
74,16,receive,1
75,16,receive,0
76,16,send,0
79,17,receive,0
80,17,send,0
81,17,send,0
82,18,internal,0
83,18,internal,0
84,18,send,0
85,19,internal,0
86,19,internal,0
93,19,receive,0
94,20,receive,1
95,20,receive,0
96,20,receive,0
97,21,receive,0
98,21,send,0
99,21,internal,0
104,22,receive,0
106,22,receive,1
107,22,receive,0
110,23,receive,0
111,23,internal,0
112,23,receive,0
115,24,receive,0
116,24,receive,0
117,24,internal,0
118,25,internal,0
120,25,receive,0
121,25,send,0
122,26,internal,0
123,26,internal,0
128,26,receive,0
130,27,receive,0
131,27,receive,0
132,27,internal,0
133,28,internal,0
136,28,receive,0
138,28,receive,0
139,29,send,0
140,29,internal,0
141,29,receive,0
142,30,send,0
143,30,internal,0
144,30,send,0
145,31,send,0
151,31,receive,0
153,32,receive,0
154,32,internal,0
155,32,internal,0
158,33,receive,0
159,33,internal,0
160,33,receive,1
161,34,receive,1
162,34,receive,0
163,34,internal,0
167,35,receive,0
168,35,receive,1
170,35,receive,0
171,36,internal,0
174,36,receive,0
175,36,send,0
176,37,send,0
178,37,receive,0
179,37,send,0
182,38,receive,0
184,38,receive,0
185,38,receive,0
186,39,internal,0
189,39,receive,0
190,39,internal,0
193,40,receive,0
194,40,send,0
195,40,internal,0
196,41,internal,0
197,41,send,0
198,41,internal,0
202,42,receive,0
203,42,internal,0
206,42,receive,0
207,43,receive,0
208,43,internal,0
209,43,internal,0
210,44,internal,0
211,44,internal,0
214,44,receive,1
216,45,receive,1
217,45,receive,0
218,45,send,0
219,46,internal,0
224,46,receive,0
226,46,receive,0
227,47,receive,0
230,47,receive,0
231,47,receive,0
233,48,receive,0
234,48,internal,0
236,48,receive,0
237,49,receive,0
238,49,internal,0
239,49,internal,0
242,50,receive,0
244,50,receive,0
245,50,internal,0
246,51,internal,0
247,51,send,0
250,51,receive,0
251,52,receive,0
254,52,receive,0
255,52,internal,0
258,53,receive,0
259,53,internal,0
260,53,send,0
261,54,send,0
262,54,internal,0
263,54,internal,0
264,55,internal,0
269,55,receive,0
270,55,internal,0
271,56,send,0
272,56,internal,0
275,56,receive,0
276,57,internal,0
277,57,internal,0
280,57,receive,0
283,58,receive,0
284,58,receive,0
285,58,receive,0
287,59,receive,0
288,59,receive,0
289,59,send,0
290,60,internal,0
291,60,internal,0
292,61,internal,0
