logical clock,global time,event type,queue length
5,1,receive,0
6,2,receive,1
9,3,receive,2
10,4,receive,5
13,5,receive,4
14,6,receive,3
18,7,receive,2
19,8,receive,3
23,9,receive,4
43,10,receive,4
46,11,receive,7
51,12,receive,7
52,13,receive,9
56,14,receive,9
59,15,receive,12
60,16,receive,13
61,17,receive,13
62,18,receive,16
70,19,receive,16
71,20,receive,17
74,21,receive,17
75,22,receive,18
79,23,receive,18
82,24,receive,20
83,25,receive,20
84,26,receive,20
86,27,receive,19
91,28,receive,20
92,29,receive,20
98,30,receive,20
100,31,receive,20
101,32,receive,22
102,33,receive,24
103,34,receive,24
111,35,receive,23
113,36,receive,22
114,37,receive,23
122,38,receive,24
123,39,receive,24
127,40,receive,24
134,41,receive,27
135,42,receive,28
138,43,receive,28
139,44,receive,28
146,45,receive,28
150,46,receive,29
159,47,receive,29
164,48,receive,29
167,49,receive,30
173,50,receive,30
180,51,receive,30
182,52,receive,32
183,53,receive,35
184,54,receive,34
189,55,receive,34
192,56,receive,35
193,57,receive,35
198,58,receive,38
212,59,receive,38
215,60,receive,38
223,61,receive,37
