logical clock,global time,event type,queue length
1,1,internal,0
2,1,receive,0
3,2,receive,1
6,2,receive,1
8,3,receive,0
14,3,receive,0
15,4,receive,1
16,4,receive,1
19,5,receive,0
20,5,internal,0
21,6,receive,1
27,6,receive,0
28,7,send,0
34,7,receive,0
35,8,receive,0
38,8,receive,1
39,9,receive,1
42,9,receive,0
46,10,receive,0
47,10,internal,0
48,11,internal,0
49,12,send,1
50,12,receive,0
51,13,internal,0
52,13,send,0
58,14,receive,0
65,14,receive,0
66,15,internal,0
67,15,internal,0
68,16,internal,0
69,16,send,0
70,17,internal,0
71,17,receive,1
81,18,receive,0
85,18,receive,0
86,19,internal,0
91,19,receive,0
92,20,internal,0
95,20,receive,0
97,21,receive,1
98,21,receive,1
101,22,receive,0
102,22,internal,0
103,23,internal,0
111,23,receive,0
112,24,internal,0
113,24,internal,0
114,25,internal,0
119,25,receive,1
121,26,receive,2
122,26,receive,2
123,27,receive,2
124,27,receive,1
127,28,receive,0
135,28,receive,0
136,29,receive,0
137,29,internal,0
138,30,internal,0
140,30,receive,0
141,31,internal,0
142,31,internal,0
143,32,receive,1
153,32,receive,1
154,33,receive,0
160,33,receive,0
161,34,internal,0
162,34,internal,0
163,35,internal,0
164,35,internal,0
168,36,receive,1
172,36,receive,1
174,37,receive,2
176,37,receive,1
178,38,receive,1
182,38,receive,0
183,39,internal,0
184,39,send,0
185,40,internal,0
186,40,internal,0
190,41,receive,0
191,41,send,0
202,42,receive,0
204,42,receive,0
205,43,receive,0
209,43,receive,0
210,44,send,0
215,44,receive,0
218,45,receive,0
220,45,receive,0
223,46,receive,0
225,46,receive,0
226,47,receive,0
228,47,receive,1
229,48,receive,1
230,48,receive,1
235,49,receive,0
236,49,send,0
242,50,receive,0
243,50,internal,0
246,51,receive,0
248,51,receive,0
249,52,internal,0
253,52,receive,1
254,53,receive,1
257,53,receive,2
258,54,receive,2
259,54,receive,2
262,55,receive,1
263,55,receive,0
270,56,receive,0
273,56,receive,0
274,57,internal,0
279,57,receive,0
280,58,internal,0
281,58,receive,0
286,59,receive,0
287,59,internal,0
290,60,receive,0
291,60,receive,1
294,61,receive,1
