logical clock,global time,event type,queue length
1,1,send,0
2,1,send,0
3,2,internal,0
4,2,internal,0
5,3,internal,0
6,3,send,0
16,4,receive,0
17,4,internal,0
18,5,internal,0
19,5,send,0
26,6,receive,0
28,6,receive,0
29,7,internal,0
34,7,receive,0
35,8,receive,0
36,8,internal,0
42,9,receive,0
44,9,receive,0
46,10,receive,0
47,10,send,0
48,11,internal,0
49,12,send,0
50,12,receive,1
57,13,receive,0
58,13,send,0
59,14,receive,0
66,14,receive,0
67,15,internal,0
68,15,internal,0
69,16,internal,0
70,16,internal,0
71,17,send,0
72,17,internal,0
83,18,receive,0
86,18,receive,0
87,19,send,0
88,19,internal,0
89,20,internal,0
95,20,receive,0
97,21,receive,1
98,21,receive,0
99,22,send,0
100,22,internal,0
101,23,internal,0
111,23,receive,0
112,24,internal,0
115,24,receive,0
117,25,receive,0
119,25,receive,1
121,26,receive,1
123,26,receive,1
126,27,receive,1
127,27,receive,0
132,28,receive,0
133,28,send,0
134,29,internal,0
139,29,receive,0
140,30,send,0
141,30,internal,0
142,31,internal,0
143,31,send,0
144,32,send,0
145,32,internal,0
158,33,receive,0
159,33,receive,1
160,34,receive,0
166,34,receive,0
167,35,internal,0
168,35,send,0
172,36,receive,0
174,36,receive,0
175,37,internal,0
176,37,send,0
182,38,receive,0
183,38,internal,0
187,39,receive,0
188,39,internal,0
189,40,receive,0
190,40,send,0
196,41,receive,1
198,41,receive,0
202,42,receive,0
203,42,send,0
208,43,receive,0
209,43,receive,0
210,44,internal,0
215,44,receive,0
218,45,receive,0
220,45,receive,0
223,46,receive,0
225,46,receive,0
226,47,send,0
227,47,send,0
228,48,send,0
235,48,receive,0
236,49,receive,0
239,49,receive,1
240,50,receive,1
241,50,receive,1
244,51,receive,1
246,51,receive,1
248,52,receive,0
253,52,receive,0
256,53,receive,1
257,53,receive,2
258,54,receive,2
259,54,receive,1
262,55,receive,0
263,55,internal,0
270,56,receive,1
272,56,receive,0
277,57,receive,0
279,57,receive,0
280,58,send,0
281,58,internal,0
282,59,internal,0
283,59,internal,0
284,60,send,0
294,60,receive,0
296,61,receive,0
