logical clock,global time,event type,queue length
1,1,internal,0
4,1,receive,0
6,2,receive,0
8,2,receive,0
11,3,receive,0
12,3,send,0
13,4,internal,0
18,4,receive,0
22,5,receive,0
23,5,receive,0
26,6,receive,0
28,6,receive,1
29,7,receive,0
33,7,receive,1
34,8,receive,2
36,8,receive,4
37,9,receive,4
38,9,receive,3
39,10,receive,3
40,10,receive,2
41,11,receive,3
45,11,receive,2
51,12,receive,2
52,12,receive,1
55,13,receive,0
64,13,receive,0
65,14,receive,1
66,14,receive,0
70,15,receive,1
71,15,receive,2
73,16,receive,2
74,16,receive,2
75,17,receive,2
79,17,receive,2
81,18,receive,1
83,18,receive,2
87,19,receive,2
88,19,receive,2
90,20,receive,3
93,20,receive,3
95,21,receive,4
96,21,receive,3
98,22,receive,3
100,22,receive,2
101,23,receive,2
105,23,receive,1
111,24,receive,0
112,24,send,0
120,25,receive,0
123,25,receive,0
125,26,receive,1
126,26,receive,0
130,27,receive,0
132,27,receive,0
135,28,receive,0
136,28,internal,0
139,29,receive,1
141,29,receive,0
144,30,receive,0
148,30,receive,1
149,31,receive,0
150,31,send,0
155,32,receive,0
156,32,internal,0
157,33,send,0
161,33,receive,1
162,34,receive,1
165,34,receive,2
166,35,receive,2
167,35,receive,2
170,36,receive,1
172,36,receive,0
179,37,receive,0
182,37,receive,0
184,38,receive,0
185,38,internal,0
186,39,internal,0
192,39,receive,0
193,40,internal,0
194,40,internal,0
195,41,internal,0
201,41,receive,0
202,42,send,0
206,42,receive,1
208,43,receive,1
210,43,receive,0
214,44,receive,1
215,44,receive,0
218,45,receive,0
222,45,receive,0
224,46,receive,0
227,46,receive,0
228,47,internal,0
231,47,receive,0
232,48,internal,0
236,48,receive,0
237,49,internal,0
241,49,receive,2
242,50,receive,1
243,50,receive,0
244,51,internal,0
245,51,internal,0
246,52,send,0
247,53,internal,0
258,53,receive,1
259,54,receive,1
261,54,receive,2
265,55,receive,2
266,55,receive,3
267,56,receive,3
269,56,receive,3
270,57,receive,4
271,57,receive,3
274,58,receive,3
276,58,receive,4
277,59,receive,5
280,59,receive,4
284,60,receive,4
285,60,receive,3
286,61,receive,2
