logical clock,global time,event type,queue length
1,1,internal,0
2,2,receive,1
3,3,receive,0
4,4,internal,0
5,5,internal,0
6,6,internal,0
7,7,internal,0
8,8,internal,0
9,9,receive,0
10,10,internal,0
11,11,internal,0
12,12,receive,0
13,13,send,0
14,14,internal,0
15,15,receive,0
16,16,receive,1
17,17,receive,0
18,18,internal,0
19,19,send,0
20,20,receive,0
21,21,internal,0
22,22,send,0
23,23,internal,0
24,24,send,0
25,25,internal,0
26,26,receive,0
27,27,receive,0
28,28,internal,0
29,29,send,0
30,30,internal,0
31,31,internal,0
32,32,send,0
33,33,internal,0
34,34,internal,0
35,35,send,0
36,36,internal,0
37,37,send,0
38,38,internal,0
39,39,receive,1
40,40,receive,0
41,41,internal,0
42,42,internal,0
43,43,internal,0
44,44,receive,1
45,45,receive,0
46,46,send,0
47,47,send,0
48,48,internal,0
49,49,internal,0
50,50,send,0
51,51,internal,0
52,52,receive,0
53,53,receive,0
54,54,internal,0
55,55,send,0
56,56,internal,0
57,57,send,0
58,58,receive,0
59,59,internal,0
60,60,receive,0
61,61,receive,0
