logical clock,global time,event type,queue length
2,1,receive,3
3,2,receive,4
4,3,receive,6
5,4,receive,6
6,5,receive,8
8,6,receive,12
12,7,receive,16
14,8,receive,18
15,9,receive,19
21,10,receive,20
26,11,receive,20
28,12,receive,21
29,13,receive,22
31,14,receive,24
32,15,receive,26
33,16,receive,28
34,17,receive,29
35,18,receive,30
36,19,receive,33
38,20,receive,32
39,21,receive,35
40,22,receive,36
41,23,receive,37
42,24,receive,39
43,25,receive,43
46,26,receive,45
49,27,receive,45
51,28,receive,49
55,29,receive,51
57,30,receive,53
60,31,receive,52
65,32,receive,53
68,33,receive,55
72,34,receive,56
73,35,receive,57
78,36,receive,58
80,37,receive,58
81,38,receive,62
84,39,receive,65
87,40,receive,68
88,41,receive,69
89,42,receive,71
93,43,receive,73
94,44,receive,76
95,45,receive,79
97,46,receive,81
100,47,receive,84
102,48,receive,87
106,49,receive,88
107,50,receive,93
108,51,receive,94
110,52,receive,95
118,53,receive,95
119,54,receive,96
120,55,receive,98
121,56,receive,99
125,57,receive,101
126,58,receive,104
133,59,receive,105
134,60,receive,106
137,61,receive,108
