logical clock,global time,event type,queue length
1,1,receive,0
2,1,receive,0
3,1,send,0
7,2,receive,0
8,2,receive,0
10,2,receive,1
11,3,receive,2
12,3,receive,3
13,3,receive,3
14,4,receive,3
15,4,receive,3
16,4,receive,2
19,5,receive,3
21,5,receive,2
24,6,receive,3
25,6,receive,3
28,6,receive,3
29,7,receive,2
31,7,receive,1
33,7,receive,1
39,8,receive,1
40,8,receive,0
44,8,receive,0
46,9,receive,1
47,9,receive,0
51,9,receive,0
52,10,receive,0
54,10,receive,0
56,10,receive,0
59,11,receive,0
60,11,send,0
61,11,send,0
65,12,receive,0
67,12,receive,0
68,12,receive,0
71,13,receive,0
73,13,receive,0
74,13,receive,0
76,14,receive,1
77,14,receive,0
79,14,receive,0
81,15,receive,0
83,15,receive,1
84,15,receive,1
86,16,receive,1
87,16,receive,2
89,16,receive,2
90,17,receive,1
92,17,receive,1
96,17,receive,1
98,18,receive,1
100,18,receive,2
101,18,receive,2
102,19,receive,2
104,19,receive,1
105,19,receive,1
109,20,receive,0
113,20,receive,0
116,20,receive,0
117,21,send,0
118,21,send,0
119,21,internal,0
123,22,receive,1
124,22,receive,2
125,22,receive,1
126,23,receive,1
130,23,receive,1
131,23,receive,1
133,24,receive,1
135,24,receive,2
137,24,receive,2
138,25,receive,1
139,25,receive,1
144,25,receive,1
145,26,receive,0
148,26,receive,1
149,26,receive,1
150,27,receive,2
152,27,receive,2
153,28,receive,2
154,28,receive,2
157,28,receive,2
158,29,receive,2
161,29,receive,2
163,29,receive,2
164,30,receive,2
166,30,receive,1
169,30,receive,2
172,31,receive,1
173,31,receive,1
176,31,receive,1
178,32,receive,2
180,32,receive,2
181,32,receive,1
182,33,receive,1
186,33,receive,2
188,33,receive,3
189,34,receive,2
190,34,receive,3
191,34,receive,3
194,35,receive,2
195,35,receive,1
196,35,receive,2
202,36,receive,3
203,36,receive,4
204,36,receive,3
205,37,receive,4
206,37,receive,5
207,37,receive,5
210,38,receive,4
211,38,receive,5
212,38,receive,5
213,39,receive,5
215,39,receive,4
217,39,receive,3
218,40,receive,3
219,40,receive,3
221,40,receive,3
227,41,receive,3
230,41,receive,2
231,41,receive,2
233,42,receive,1
237,42,receive,0
243,42,receive,0
244,43,send,0
245,43,send,0
246,43,send,0
252,44,receive,0
253,44,receive,0
255,44,receive,1
256,45,receive,1
257,45,receive,0
258,45,send,0
259,46,internal,0
266,46,receive,0
268,46,receive,0
270,47,receive,0
271,47,internal,0
273,47,receive,0
275,48,receive,0
277,48,receive,1
278,48,receive,0
281,49,receive,1
282,49,receive,1
284,49,receive,1
286,50,receive,0
287,50,internal,0
292,51,receive,0
293,51,receive,1
294,51,receive,0
295,52,send,0
299,52,receive,0
300,52,send,0
303,53,receive,0
304,53,receive,0
306,53,receive,1
307,54,receive,2
308,54,receive,1
309,54,receive,2
312,55,receive,1
313,55,receive,1
316,55,receive,1
319,56,receive,1
320,56,receive,0
324,56,receive,1
325,57,receive,1
326,57,receive,1
328,57,receive,2
330,58,receive,3
331,58,receive,3
332,58,receive,3
333,59,receive,4
335,59,receive,5
336,59,receive,5
338,60,receive,5
339,60,receive,6
340,60,receive,7
341,61,receive,8
