logical clock,global time,event type,queue length
1,1,send,0
2,1,internal,0
6,2,receive,0
7,2,internal,0
8,3,send,0
9,3,send,0
10,4,receive,0
11,4,internal,0
20,5,receive,1
21,5,receive,0
25,6,receive,0
29,6,receive,0
30,7,internal,0
31,7,internal,0
35,8,receive,2
36,8,receive,1
37,9,receive,0
38,9,internal,0
47,10,receive,0
48,10,send,0
51,11,receive,0
53,11,receive,0
54,12,internal,0
55,12,send,0
56,13,internal,0
57,13,send,0
58,14,internal,0
59,14,internal,0
70,15,receive,0
72,15,receive,2
73,16,receive,1
74,16,receive,0
81,17,receive,0
82,17,internal,0
86,18,receive,0
87,18,internal,0
88,19,internal,0
89,19,internal,0
96,20,receive,0
97,20,receive,1
99,21,receive,0
100,21,internal,0
101,22,send,0
102,22,internal,0
103,23,internal,0
104,23,internal,0
115,24,receive,0
116,24,internal,0
119,25,receive,1
120,25,receive,1
122,26,receive,2
124,26,receive,1
125,27,receive,1
130,27,receive,0
131,28,internal,0
132,28,internal,0
133,29,send,0
134,29,send,0
135,30,send,0
147,30,receive,0
148,31,internal,0
149,31,internal,0
150,32,internal,0
158,32,receive,0
159,33,receive,0
162,33,receive,0
164,34,receive,0
166,34,receive,1
167,35,receive,1
169,35,receive,1
172,36,receive,1
174,36,receive,0
175,37,internal,0
182,37,receive,0
184,38,receive,1
185,38,receive,1
187,39,receive,1
189,40,receive,0
195,40,receive,1
196,41,receive,0
200,41,receive,0
201,42,receive,0
205,42,receive,0
206,43,internal,0
208,43,receive,0
209,44,internal,0
214,44,receive,0
216,45,receive,0
217,45,internal,0
218,46,receive,0
219,46,send,0
227,47,receive,0
229,47,receive,0
230,48,internal,0
233,48,receive,0
234,49,receive,0
235,49,send,0
236,50,send,0
244,50,receive,0
246,51,receive,0
247,51,receive,0
251,52,receive,0
252,52,receive,0
253,53,receive,0
254,53,internal,0
261,54,receive,1
262,54,receive,0
263,55,internal,0
264,55,internal,0
265,56,send,0
266,56,internal,0
276,57,receive,1
277,57,receive,0
278,58,receive,0
279,58,receive,0
280,59,send,0
281,59,internal,0
282,60,internal,0
292,60,receive,0
296,61,receive,0
