logical clock,global time,event type,queue length
1,0,send,0
2,0,internal,0
4,1,receive,1
5,1,receive,0
9,1,receive,0
10,2,send,0
11,2,internal,0
15,2,receive,0
16,3,internal,0
17,3,internal,0
18,3,internal,0
23,4,receive,0
24,4,send,0
25,4,send,0
26,5,internal,0
27,5,internal,0
33,5,receive,0
34,6,internal,0
35,6,internal,0
36,6,internal,0
40,7,receive,0
42,7,receive,1
43,7,receive,0
44,8,internal,0
45,8,internal,0
46,8,internal,0
52,9,receive,0
53,9,send,0
54,9,internal,0
55,10,internal,0
56,10,internal,0
62,10,receive,0
63,11,internal,0
64,11,send,0
65,11,internal,0
66,12,internal,0
67,12,send,0
68,12,internal,0
69,13,internal,0
70,13,internal,0
80,14,receive,1
81,14,receive,0
82,14,send,0
87,15,receive,0
89,15,receive,0
90,15,internal,0
93,16,receive,0
94,16,internal,0
95,16,internal,0
96,17,send,0
97,17,send,0
98,17,internal,0
99,18,send,0
100,18,internal,0
101,18,send,0
102,19,send,0
103,19,internal,0
104,19,send,0
105,20,internal,0
117,20,receive,0
119,20,receive,0
121,21,receive,0
123,21,receive,1
124,21,receive,0
125,22,internal,0
130,22,receive,0
132,22,receive,0
134,23,receive,0
136,23,receive,0
137,23,internal,0
138,24,internal,0
139,24,internal,0
144,24,receive,0
145,25,receive,0
146,25,internal,0
147,25,send,0
148,26,internal,0
149,26,send,0
155,26,receive,1
156,27,receive,0
160,27,receive,0
161,27,internal,0
162,28,send,0
163,28,send,0
164,28,internal,0
169,29,receive,0
170,29,internal,0
171,29,internal,0
172,30,internal,0
173,30,send,0
174,30,internal,0
175,31,internal,0
176,31,internal,0
177,31,internal,0
188,32,receive,0
189,32,internal,0
190,32,internal,0
191,33,internal,0
195,33,receive,0
197,33,receive,0
199,34,receive,1
200,34,receive,1
202,34,receive,0
203,35,send,0
204,35,internal,0
210,35,receive,0
211,36,receive,0
212,36,internal,0
215,36,receive,0
217,37,receive,0
218,37,internal,0
220,37,receive,0
221,38,internal,0
225,38,receive,0
226,38,receive,0
227,39,internal,0
231,39,receive,0
232,39,receive,0
233,40,internal,0
237,40,receive,0
238,40,internal,0
239,41,internal,0
240,41,internal,0
245,41,receive,0
247,42,receive,0
248,42,receive,0
249,42,send,0
250,43,internal,0
254,43,receive,1
255,43,receive,0
256,44,internal,0
261,44,receive,0
262,44,internal,0
265,45,receive,0
266,45,internal,0
267,45,internal,0
268,46,internal,0
273,46,receive,0
274,47,receive,0
277,47,receive,0
278,47,send,0
279,48,send,0
280,48,internal,0
285,48,receive,0
286,49,receive,0
287,49,internal,0
288,49,internal,0
289,50,internal,0
290,50,internal,0
291,50,internal,0
298,51,receive,0
299,51,internal,0
300,51,send,0
301,52,send,0
307,52,receive,0
308,52,send,0
311,53,receive,0
312,53,internal,0
313,53,internal,0
314,54,internal,0
315,54,internal,0
320,54,receive,0
321,55,internal,0
323,55,receive,1
324,55,receive,0
325,56,send,0
330,56,receive,0
331,56,send,0
332,57,internal,0
333,57,internal,0
334,57,internal,0
339,58,receive,0
340,58,internal,0
343,58,receive,0
344,59,internal,0
345,59,internal,0
346,59,internal,0
347,60,send,0
354,60,receive,0
355,60,internal,0
356,61,internal,0
