logical clock,global time,event type,queue length
1,1,send,0
2,2,internal,0
3,3,internal,0
4,4,internal,0
5,5,receive,0
6,6,receive,0
7,7,internal,0
8,8,internal,0
9,9,receive,1
10,10,receive,0
11,11,receive,0
12,12,send,0
13,13,receive,0
14,14,internal,0
15,15,send,0
16,16,internal,0
17,17,send,0
18,18,internal,0
19,19,internal,0
20,20,internal,0
21,21,internal,0
22,22,internal,0
23,23,receive,0
24,24,send,0
25,25,internal,0
26,26,internal,0
27,27,send,0
28,28,internal,0
29,29,send,0
30,30,receive,0
31,31,internal,0
32,32,receive,0
33,33,internal,0
34,34,receive,0
35,35,internal,0
36,36,receive,0
37,37,internal,0
38,38,send,0
39,39,send,0
40,40,receive,0
41,41,receive,0
42,42,internal,0
43,43,receive,1
44,44,receive,1
45,45,receive,0
46,46,internal,0
47,47,receive,0
48,48,receive,0
49,49,send,0
50,50,send,0
51,51,receive,0
52,52,internal,0
53,53,internal,0
54,54,receive,0
55,55,receive,0
56,56,internal,0
57,57,internal,0
58,58,send,0
59,59,internal,0
60,60,send,0
61,61,internal,0
