logical clock,global time,event type,queue length
1,1,send,0
2,2,receive,0
3,3,internal,0
4,4,send,0
5,5,send,0
6,6,send,0
7,7,internal,0
8,8,internal,0
9,9,send,0
10,10,send,0
11,11,send,0
12,12,internal,0
13,13,receive,1
14,14,receive,0
15,15,internal,0
16,16,receive,0
17,17,internal,0
18,18,receive,0
19,19,send,0
20,20,internal,0
21,21,internal,0
22,22,internal,0
23,23,receive,0
24,24,send,0
25,25,internal,0
26,26,internal,0
27,27,receive,0
28,28,internal,0
29,29,internal,0
30,30,receive,0
31,31,internal,0
32,32,send,0
33,33,receive,0
34,34,internal,0
35,35,receive,0
36,36,internal,0
37,37,internal,0
38,38,internal,0
39,39,receive,0
40,40,internal,0
41,41,send,0
42,42,internal,0
43,43,send,0
44,44,send,0
45,45,internal,0
46,46,internal,0
47,47,internal,0
48,48,receive,0
49,49,internal,0
50,50,receive,0
51,51,send,0
52,52,internal,0
53,53,receive,0
54,54,receive,0
55,55,internal,0
56,56,receive,0
57,57,internal,0
58,58,receive,0
59,59,internal,0
60,60,internal,0
61,61,receive,0
