logical clock,global time,event type,queue length
1,1,receive,0
2,1,receive,1
3,1,receive,0
4,2,internal,0
7,2,receive,0
8,2,internal,0
11,3,receive,0
12,3,receive,1
13,3,receive,0
16,4,receive,0
17,4,internal,0
18,4,internal,0
19,5,send,0
20,5,internal,0
22,5,receive,0
23,6,receive,0
24,6,internal,0
29,6,receive,0
30,7,internal,0
31,7,internal,0
33,7,receive,0
35,8,receive,0
36,8,send,0
37,9,internal,0
40,9,receive,1
41,9,receive,0
42,10,send,0
43,10,internal,0
45,10,receive,0
46,11,internal,0
50,11,receive,1
51,11,receive,0
53,12,receive,0
54,12,internal,0
55,12,internal,0
56,13,send,0
57,13,send,0
58,13,internal,0
61,14,receive,0
62,14,send,0
63,14,internal,0
65,15,receive,0
66,15,receive,0
72,15,receive,1
73,16,receive,0
75,16,receive,0
76,16,internal,0
79,17,receive,0
80,17,receive,1
81,17,receive,0
82,18,receive,1
84,18,receive,0
85,18,send,0
89,19,receive,0
90,19,internal,0
91,19,receive,0
92,20,send,0
93,20,internal,0
96,20,receive,1
97,21,receive,1
98,21,receive,0
99,21,send,0
104,22,receive,0
105,22,internal,0
106,22,internal,0
107,23,send,0
108,23,internal,0
112,23,receive,0
113,24,receive,0
114,24,receive,0
117,24,receive,0
119,25,receive,0
120,25,receive,0
121,25,internal,0
122,26,internal,0
123,26,internal,0
124,26,internal,0
125,27,internal,0
126,27,internal,0
128,27,receive,0
130,28,receive,0
135,28,receive,0
136,28,internal,0
137,29,internal,0
139,29,receive,0
140,29,internal,0
141,30,internal,0
142,30,send,0
147,30,receive,0
148,31,receive,0
149,31,internal,0
150,31,send,0
151,32,internal,0
154,32,receive,0
155,32,internal,0
156,33,internal,0
159,33,receive,0
160,33,receive,1
162,34,receive,1
163,34,receive,0
165,34,receive,1
167,35,receive,0
168,35,internal,0
169,35,internal,0
170,36,internal,0
171,36,send,0
172,37,internal,0
178,37,receive,0
179,37,receive,0
180,38,send,0
181,38,internal,0
185,38,receive,0
186,39,receive,0
187,39,internal,0
189,39,receive,0
190,40,internal,0
191,40,internal,0
192,40,send,0
196,41,receive,0
197,41,internal,0
198,41,receive,0
199,42,send,0
202,42,receive,0
204,42,receive,0
206,43,receive,0
207,43,internal,0
208,43,internal,0
211,44,receive,0
212,44,send,0
215,44,receive,0
216,45,send,0
217,45,internal,0
219,45,receive,0
221,46,receive,1
222,46,receive,1
223,46,receive,0
224,47,internal,0
225,47,internal,0
226,47,internal,0
227,48,internal,0
233,48,receive,0
235,48,receive,0
236,49,receive,0
237,49,receive,0
238,49,send,0
239,50,receive,0
240,50,internal,0
244,50,receive,0
245,51,internal,0
246,51,internal,0
249,51,receive,0
250,52,internal,0
252,52,receive,0
253,52,send,0
254,53,internal,0
255,53,internal,0
256,53,send,0
257,54,internal,0
261,54,receive,1
263,54,receive,0
264,55,send,0
268,55,receive,0
269,55,internal,0
270,56,receive,0
272,56,receive,1
273,56,receive,0
274,57,receive,0
275,57,internal,0
276,57,send,0
281,58,receive,0
282,58,internal,0
283,58,send,0
284,59,send,0
285,59,internal,0
288,59,receive,0
291,60,receive,0
292,60,send,0
293,60,send,0
294,61,internal,0
