logical clock,global time,event type,queue length
1,1,receive,0
2,1,send,0
3,2,internal,0
9,2,receive,0
10,3,internal,0
11,3,internal,0
12,4,internal,0
13,4,send,0
14,5,internal,0
24,5,receive,0
25,6,internal,0
26,6,receive,1
29,7,receive,0
30,7,send,0
31,8,receive,0
39,8,receive,0
40,9,receive,0
43,9,receive,1
44,10,receive,0
47,10,receive,0
48,11,internal,0
49,11,internal,0
50,12,internal,0
58,12,receive,0
59,13,internal,0
60,13,internal,0
61,14,internal,0
68,14,receive,0
69,15,internal,0
74,15,receive,0
76,16,receive,0
77,16,internal,0
78,17,internal,0
79,17,internal,0
80,18,internal,0
81,19,send,0
82,19,internal,0
93,20,receive,0
94,20,send,0
95,21,send,0
96,21,internal,0
97,22,send,0
106,22,receive,0
107,23,internal,0
111,23,receive,0
112,24,send,0
115,24,receive,1
116,25,receive,1
117,25,receive,0
122,26,receive,1
123,26,receive,1
124,27,receive,1
126,27,receive,0
133,28,receive,0
134,28,send,0
135,29,internal,0
136,29,internal,0
142,30,receive,0
144,30,receive,0
145,31,internal,0
146,31,internal,0
147,32,internal,0
148,32,internal,0
149,33,internal,0
150,33,internal,0
151,34,internal,0
152,34,send,0
153,35,internal,0
168,35,receive,0
172,36,receive,0
173,36,internal,0
174,37,internal,0
180,37,receive,1
181,38,receive,0
182,38,internal,0
183,39,send,0
189,39,receive,0
190,40,internal,0
195,40,receive,0
196,41,internal,0
198,41,receive,0
200,42,receive,0
201,42,internal,0
202,43,internal,0
203,43,internal,0
210,44,receive,0
213,44,receive,0
214,45,internal,0
215,45,internal,0
216,46,send,0
217,46,internal,0
218,47,internal,0
224,47,receive,0
225,48,receive,0
226,48,internal,0
235,49,receive,0
236,49,receive,0
237,50,internal,0
241,50,receive,0
242,51,internal,0
243,51,internal,0
244,52,internal,0
245,52,internal,0
255,53,receive,1
256,53,receive,0
257,54,internal,0
258,54,internal,0
265,55,receive,0
266,55,internal,0
267,56,receive,1
269,56,receive,2
272,57,receive,2
273,57,receive,1
275,58,receive,0
276,58,send,0
286,59,receive,0
287,59,internal,0
288,60,internal,0
289,60,internal,0
290,61,send,0
