logical clock,global time,event type,queue length
1,1,internal,0
2,2,internal,0
3,3,internal,0
4,4,receive,0
5,5,receive,0
6,6,internal,0
7,7,internal,0
8,8,receive,0
9,9,internal,0
10,10,internal,0
11,11,send,0
12,12,receive,0
13,13,internal,0
14,14,receive,1
15,15,receive,0
16,16,internal,0
17,17,receive,0
18,18,send,0
19,19,receive,0
20,20,send,0
21,21,internal,0
22,22,receive,0
23,23,internal,0
24,24,receive,0
25,25,send,0
26,26,internal,0
27,27,send,0
28,28,internal,0
29,29,send,0
30,30,receive,0
31,31,send,0
32,32,internal,0
33,33,internal,0
34,34,receive,1
35,35,receive,1
36,36,receive,0
37,37,send,0
38,38,send,0
39,39,internal,0
40,40,receive,0
41,41,send,0
42,42,internal,0
43,43,send,0
44,44,internal,0
45,45,internal,0
46,46,internal,0
47,47,internal,0
48,48,receive,0
49,49,receive,0
50,50,receive,0
51,51,receive,0
52,52,receive,0
53,53,send,0
54,54,internal,0
55,55,internal,0
56,56,receive,0
57,57,internal,0
58,58,receive,0
59,59,send,0
60,60,receive,0
61,61,internal,0
