logical clock,global time,event type,queue length
2,1,receive,0
3,1,receive,0
6,2,receive,0
8,2,receive,0
9,3,internal,0
10,3,send,0
11,4,internal,0
12,4,send,0
22,5,receive,0
23,5,internal,0
25,6,receive,0
26,6,internal,0
27,7,send,0
34,7,receive,0
35,8,internal,0
36,9,send,0
37,9,internal,0
44,10,receive,0
45,10,internal,0
47,11,receive,0
51,11,receive,0
54,12,receive,0
55,12,internal,0
56,13,send,0
60,13,receive,0
63,14,receive,0
64,14,internal,0
65,15,receive,0
71,15,receive,0
72,16,send,0
73,16,internal,0
74,17,internal,0
79,17,receive,0
80,18,internal,0
86,18,receive,0
87,19,receive,1
88,19,receive,0
89,20,internal,0
95,20,receive,0
96,21,internal,0
97,21,send,0
98,22,internal,0
106,22,receive,0
107,23,receive,0
108,23,internal,0
109,24,send,0
115,24,receive,0
116,25,internal,0
117,25,internal,0
123,26,receive,0
124,26,send,0
125,27,internal,0
129,27,receive,0
132,28,receive,0
133,28,send,0
134,29,internal,0
138,29,receive,0
139,30,internal,0
140,30,internal,0
146,31,receive,0
148,31,receive,0
149,32,receive,0
155,32,receive,0
156,33,internal,0
157,33,internal,0
158,34,internal,0
159,34,send,0
160,35,send,0
161,35,internal,0
162,36,internal,0
163,36,internal,0
164,37,internal,0
165,37,send,0
166,38,send,0
167,38,internal,0
185,39,receive,0
186,39,internal,0
187,40,internal,0
193,40,receive,0
194,41,internal,0
199,41,receive,0
202,42,receive,0
203,42,internal,0
204,43,internal,0
209,43,receive,0
210,44,receive,1
211,44,receive,1
212,45,receive,0
213,45,internal,0
214,46,internal,0
215,46,internal,0
225,47,receive,0
226,47,send,0
227,48,send,0
228,48,internal,0
229,49,internal,0
230,49,receive,1
238,50,receive,0
239,50,send,0
240,51,internal,0
247,51,receive,0
248,52,internal,0
252,52,receive,0
253,53,internal,0
257,53,receive,1
258,54,receive,0
262,54,receive,0
265,55,receive,0
266,55,internal,0
270,56,receive,0
271,56,internal,0
272,57,send,0
273,57,internal,0
274,58,internal,0
275,58,send,0
276,59,internal,0
288,59,receive,0
289,60,receive,0
291,60,receive,1
293,61,receive,0
