logical clock,global time,event type,queue length
2,1,receive,0
3,1,receive,1
4,2,receive,1
6,2,receive,1
8,3,receive,0
9,3,send,0
10,4,internal,0
12,4,receive,0
22,5,receive,0
23,6,internal,0
24,6,internal,0
25,7,internal,0
32,7,receive,1
33,8,receive,0
36,8,receive,0
37,9,send,0
38,9,internal,0
44,10,receive,0
45,10,internal,0
46,11,internal,0
47,11,internal,0
54,12,receive,0
55,12,internal,0
56,13,receive,0
60,13,receive,0
63,14,receive,0
64,14,send,0
65,15,internal,0
71,15,receive,0
72,16,send,0
73,16,send,0
74,17,internal,0
79,17,receive,0
83,18,receive,0
84,18,internal,0
85,19,internal,0
86,19,internal,0
87,20,internal,0
95,20,receive,0
97,21,receive,0
98,21,internal,0
99,22,receive,1
103,22,receive,0
104,23,send,0
105,23,internal,0
106,24,internal,0
107,24,internal,0
108,25,internal,0
119,25,receive,0
121,26,receive,1
122,26,receive,1
124,27,receive,1
125,27,receive,0
132,28,receive,0
133,28,receive,0
137,29,receive,0
138,29,receive,0
139,30,internal,0
140,30,internal,0
147,31,receive,0
148,31,receive,0
149,32,send,0
155,32,receive,0
156,33,internal,0
157,33,internal,0
158,34,internal,0
164,34,receive,1
165,35,receive,1
166,35,receive,0
167,36,internal,0
173,36,receive,0
174,37,internal,0
179,37,receive,0
182,38,receive,0
183,38,receive,0
184,39,internal,0
189,39,receive,0
191,40,receive,0
193,40,receive,0
196,41,receive,0
197,41,internal,0
202,42,receive,0
203,42,internal,0
204,43,internal,0
205,43,internal,0
206,44,send,0
207,44,internal,0
208,45,internal,0
217,45,receive,0
221,46,receive,0
223,46,receive,0
225,47,receive,0
226,47,internal,0
227,48,receive,0
228,48,internal,0
229,49,send,0
239,49,receive,0
240,50,internal,0
241,50,internal,0
246,51,receive,0
247,51,receive,0
248,52,internal,0
252,52,receive,0
253,53,internal,0
257,53,receive,1
258,54,receive,0
262,54,receive,0
266,55,receive,0
267,55,internal,0
270,56,receive,0
273,56,receive,0
275,57,receive,0
276,57,receive,1
278,58,receive,0
279,58,receive,0
285,59,receive,0
286,59,internal,0
289,60,receive,0
291,60,receive,1
293,61,receive,0
