logical clock,global time,event type,queue length
1.0,1,internal,0
2.0,2,receive,0
3.0,3,receive,3
4.0,4,receive,4
5.0,5,receive,3
6.0,6,receive,4
7.0,7,receive,3
8.0,8,receive,3
9.0,9,receive,3
10.0,10,receive,5
11.0,11,receive,5
12.0,12,receive,5
13.0,13,receive,4
14.0,14,receive,5
15.0,15,receive,5
16.0,16,receive,5
17.0,17,receive,5
18.0,18,receive,5
19.0,19,receive,7
20.0,20,receive,7
21.0,21,receive,9
22.0,22,receive,10
23.0,23,receive,11
24.0,24,receive,12
25.0,25,receive,12
26.0,26,receive,12
27.0,27,receive,15
28.0,28,receive,16
29.0,29,receive,15
30.0,30,receive,15
31.0,31,receive,18
32.0,32,receive,18
33.0,33,receive,17
34.0,34,receive,18
35.0,35,receive,17
36.0,36,receive,16
37.0,37,receive,16
38.0,38,receive,18
39.0,39,receive,19
40.0,40,receive,20
41.0,41,receive,20
42.0,42,receive,20
43.0,43,receive,20
44.0,44,receive,21
45.0,45,receive,23
46.0,46,receive,22
47.0,47,receive,22
48.0,48,receive,23
49.0,49,receive,23
50.0,50,receive,24
51.0,51,receive,24
52.0,52,receive,25
53.0,53,receive,26
54.0,54,receive,28
55.0,55,receive,29
56.0,56,receive,28
57.0,57,receive,28
58.0,58,receive,28
59.0,59,receive,27
60.0,60,receive,26
61.0,61,receive,27
