logical clock,global time,event type,queue length
1,0,receive,0
3,1,receive,0
4,1,internal,0
8,2,receive,2
9,2,receive,2
10,3,receive,2
11,3,receive,1
13,4,receive,0
20,4,receive,0
24,5,receive,0
25,5,internal,0
26,6,internal,0
27,6,send,0
28,7,send,0
29,7,internal,0
30,8,internal,0
40,8,receive,0
43,9,receive,0
44,9,internal,0
48,10,receive,0
51,10,receive,0
52,11,internal,0
53,11,internal,0
54,12,internal,0
61,12,receive,0
64,13,receive,0
66,13,receive,0
67,14,send,0
68,14,send,0
73,15,receive,0
74,15,send,0
78,16,receive,0
81,16,receive,0
82,17,internal,0
85,17,receive,0
87,18,receive,1
88,18,receive,0
89,19,internal,0
95,19,receive,1
96,20,receive,0
99,20,receive,2
100,21,receive,2
101,21,receive,2
103,22,receive,1
104,22,receive,1
110,23,receive,1
113,23,receive,0
117,24,receive,0
119,24,receive,0
120,25,internal,0
126,25,receive,0
127,26,receive,0
128,26,send,0
129,27,send,0
135,27,receive,0
138,28,receive,0
140,28,receive,2
141,29,receive,2
142,29,receive,1
143,30,receive,0
151,30,receive,0
152,31,receive,0
154,31,receive,0
157,32,receive,0
158,32,internal,0
159,33,send,0
164,33,receive,2
165,34,receive,1
166,34,receive,0
171,35,receive,0
174,35,receive,1
175,36,receive,0
180,36,receive,0
181,37,internal,0
184,37,receive,0
186,38,receive,0
187,38,internal,0
191,39,receive,1
192,39,receive,1
195,40,receive,0
199,40,receive,0
201,41,receive,1
203,41,receive,0
206,42,receive,0
207,42,internal,0
211,43,receive,0
215,43,receive,0
218,44,receive,1
219,44,receive,1
220,45,receive,2
221,45,receive,2
222,46,receive,1
224,46,receive,1
230,47,receive,1
231,47,receive,2
234,48,receive,1
235,48,receive,1
239,49,receive,1
241,49,receive,1
243,50,receive,0
248,50,receive,0
252,51,receive,0
255,51,receive,0
256,52,receive,0
259,52,receive,0
260,53,internal,0
261,53,internal,0
267,54,receive,0
268,54,receive,1
269,55,receive,2
271,55,receive,1
272,56,receive,0
273,56,internal,0
274,57,internal,0
283,57,receive,0
285,58,receive,1
286,58,receive,2
288,59,receive,2
289,59,receive,3
292,60,receive,2
293,60,receive,1
294,61,receive,0
