logical clock,global time,event type,queue length
2,0,receive,0
3,1,receive,0
6,1,receive,0
7,2,internal,0
11,2,receive,0
12,3,internal,0
17,3,receive,0
18,4,send,0
19,4,send,0
20,5,send,0
21,5,internal,0
28,6,receive,0
29,6,internal,0
30,7,receive,0
31,7,internal,0
32,8,internal,0
42,8,receive,0
43,9,send,0
47,9,receive,0
49,10,receive,0
52,10,receive,0
53,11,receive,1
54,11,receive,1
56,12,receive,0
57,12,internal,0
63,13,receive,1
64,13,receive,1
65,14,receive,1
67,14,receive,1
71,15,receive,1
73,15,receive,0
74,16,internal,0
75,16,internal,0
82,17,receive,0
85,17,receive,1
86,18,receive,1
89,18,receive,1
90,19,receive,2
91,19,receive,1
93,20,receive,0
101,20,receive,0
102,21,internal,0
103,21,internal,0
104,22,internal,0
110,22,receive,0
111,23,internal,0
112,23,internal,0
119,24,receive,0
120,24,send,0
121,25,send,0
122,25,internal,0
127,26,receive,0
128,26,internal,0
134,27,receive,0
135,27,receive,0
139,28,receive,0
140,28,receive,1
141,29,receive,0
146,29,receive,0
147,30,receive,0
150,30,receive,0
151,31,send,0
154,31,receive,2
155,32,receive,1
156,32,receive,0
157,33,internal,0
158,33,internal,0
168,34,receive,0
169,34,internal,0
173,35,receive,0
174,35,receive,0
177,36,receive,0
178,36,internal,0
179,37,internal,0
180,37,internal,0
181,38,receive,0
182,38,internal,0
193,39,receive,0
194,39,internal,0
195,40,send,0
199,40,receive,0
202,41,receive,0
203,41,internal,0
204,42,internal,0
209,42,receive,0
210,43,internal,0
211,43,internal,0
218,44,receive,0
219,44,receive,0
222,45,receive,0
225,46,receive,0
226,46,receive,1
228,47,receive,1
230,47,receive,0
235,48,receive,0
236,48,internal,0
240,49,receive,0
241,49,internal,0
244,50,receive,0
245,50,internal,0
250,51,receive,0
251,51,receive,0
255,52,receive,0
256,52,internal,0
259,53,receive,0
260,53,receive,0
261,54,internal,0
262,54,internal,0
263,55,receive,0
264,55,send,0
273,56,receive,0
274,56,internal,0
279,57,receive,1
280,57,receive,0
283,58,receive,0
287,58,receive,0
290,59,receive,0
291,59,internal,0
293,60,receive,1
294,60,receive,0
298,61,receive,1
