logical clock,global time,event type,queue length
1,0,internal,0
2,0,internal,0
3,0,internal,0
4,1,internal,0
5,1,internal,0
6,1,receive,1
7,1,receive,0
8,2,internal,0
9,2,receive,0
10,2,internal,0
11,2,receive,1
12,3,receive,0
13,3,receive,0
14,3,internal,0
15,3,internal,0
16,4,receive,1
17,4,receive,0
18,4,internal,0
19,4,internal,0
20,5,internal,0
21,5,send,0
22,5,internal,0
23,6,send,0
24,6,internal,0
25,6,internal,0
26,6,send,0
27,7,send,0
28,7,receive,0
29,7,internal,0
30,7,receive,0
31,8,receive,0
32,8,internal,0
33,8,internal,0
34,8,internal,0
35,9,receive,0
36,9,internal,0
37,9,send,0
38,9,internal,0
39,10,receive,0
40,10,receive,0
41,10,receive,0
42,10,send,0
43,11,internal,0
44,11,send,0
45,11,send,0
46,11,internal,0
47,12,send,0
48,12,internal,0
49,12,internal,0
50,12,send,0
51,13,receive,0
52,13,receive,1
53,13,receive,0
54,13,internal,0
55,14,internal,0
56,14,receive,0
57,14,internal,0
58,14,receive,0
59,15,receive,0
60,15,receive,0
61,15,receive,0
62,15,internal,0
63,16,send,0
64,16,receive,0
65,16,internal,0
66,16,receive,0
67,17,receive,0
68,17,internal,0
69,17,receive,0
70,17,internal,0
71,18,internal,0
72,18,send,0
73,18,receive,0
74,18,internal,0
75,19,receive,0
76,19,internal,0
77,19,receive,0
78,19,internal,0
79,20,internal,0
80,20,internal,0
81,20,receive,0
82,21,internal,0
83,21,receive,0
84,21,internal,0
85,21,receive,0
86,22,internal,0
87,22,internal,0
88,22,internal,0
89,22,receive,0
90,23,receive,0
91,23,receive,0
92,23,internal,0
93,23,send,0
94,24,send,0
95,24,internal,0
96,24,receive,0
97,24,send,0
98,25,send,0
99,25,internal,0
100,25,internal,0
101,25,internal,0
102,26,send,0
103,26,send,0
104,26,receive,0
105,26,receive,0
106,27,send,0
107,27,internal,0
108,27,receive,0
109,27,receive,0
110,28,internal,0
111,28,receive,0
112,28,receive,0
113,28,receive,0
114,29,internal,0
115,29,receive,0
116,29,internal,0
117,29,send,0
118,30,internal,0
119,30,internal,0
120,30,internal,0
121,30,internal,0
122,31,receive,0
123,31,internal,0
124,31,internal,0
125,31,send,0
126,32,internal,0
127,32,send,0
128,32,internal,0
129,32,internal,0
130,33,receive,0
131,33,internal,0
132,33,internal,0
133,33,internal,0
134,34,send,0
135,34,send,0
136,34,send,0
137,34,send,0
138,35,internal,0
139,35,internal,0
140,35,internal,0
141,35,internal,0
142,36,send,0
143,36,send,0
144,36,internal,0
145,37,receive,0
146,37,internal,0
147,37,internal,0
148,37,receive,0
149,38,receive,0
150,38,send,0
151,38,send,0
152,38,send,0
153,39,internal,0
154,39,receive,0
155,39,internal,0
156,39,internal,0
157,40,internal,0
158,40,receive,0
159,40,send,0
160,40,internal,0
161,41,internal,0
162,41,internal,0
163,41,receive,0
164,41,internal,0
165,42,internal,0
166,42,internal,0
167,42,internal,0
168,42,receive,0
169,43,receive,0
170,43,receive,0
171,43,receive,0
172,43,internal,0
173,44,receive,0
174,44,internal,0
175,44,internal,0
176,44,send,0
177,45,internal,0
178,45,internal,0
179,45,internal,0
180,45,internal,0
181,46,send,0
182,46,send,0
183,46,receive,0
184,46,send,0
185,47,internal,0
186,47,receive,0
187,47,send,0
188,47,send,0
189,48,internal,0
190,48,internal,0
191,48,send,0
192,48,internal,0
193,49,receive,0
194,49,send,0
195,49,internal,0
196,49,internal,0
197,50,send,0
198,50,internal,0
199,50,internal,0
200,50,internal,0
201,51,internal,0
202,51,receive,0
203,51,internal,0
204,51,receive,0
205,52,receive,0
206,52,receive,0
207,52,receive,1
208,53,receive,1
209,53,receive,0
210,53,receive,0
211,53,send,0
212,54,send,0
213,54,send,0
214,54,internal,0
215,54,internal,0
216,55,internal,0
217,55,send,0
218,55,internal,0
219,55,receive,1
220,56,receive,0
221,56,internal,0
222,56,receive,0
223,56,receive,0
224,57,internal,0
225,57,send,0
226,57,internal,0
227,57,receive,0
228,58,internal,0
229,58,receive,0
230,58,internal,0
231,58,send,0
232,59,internal,0
233,59,internal,0
234,59,internal,0
235,59,send,0
236,60,internal,0
237,60,internal,0
238,60,internal,0
239,60,receive,0
240,61,internal,0
