logical clock,global time,event type,queue length
1,0,receive,0
2,0,receive,0
4,1,receive,0
6,1,receive,1
7,1,receive,1
9,2,receive,2
10,2,receive,1
11,2,receive,1
15,3,receive,0
18,3,receive,0
21,3,receive,0
22,4,receive,1
23,4,receive,1
24,4,receive,1
26,5,receive,1
28,5,receive,2
30,5,receive,1
31,6,receive,2
34,6,receive,1
35,6,receive,1
38,7,receive,0
43,7,receive,0
45,7,receive,0
47,8,receive,0
49,8,receive,0
50,8,receive,1
51,9,receive,2
52,9,receive,1
53,9,receive,2
56,10,receive,3
57,10,receive,4
58,10,receive,4
59,11,receive,4
60,11,receive,4
61,11,receive,5
62,12,receive,5
64,12,receive,6
66,12,receive,7
67,13,receive,6
68,13,receive,6
70,13,receive,5
71,14,receive,4
72,14,receive,4
73,14,receive,3
74,15,receive,3
77,15,receive,2
83,15,receive,2
88,16,receive,1
91,16,receive,1
95,16,receive,1
97,17,receive,0
98,17,send,0
104,17,receive,0
105,18,receive,0
108,18,receive,0
109,18,receive,0
111,19,receive,1
112,19,receive,0
113,19,send,0
114,20,send,0
115,20,send,0
121,20,receive,0
123,21,receive,0
125,21,receive,1
126,21,receive,1
128,22,receive,1
129,22,receive,2
131,22,receive,2
132,23,receive,3
134,23,receive,3
135,23,receive,3
136,24,receive,2
137,24,receive,1
139,24,receive,0
148,25,receive,0
149,25,receive,1
150,25,receive,1
151,26,receive,1
152,26,receive,1
155,26,receive,0
158,27,receive,0
161,27,receive,0
162,27,send,0
164,28,receive,1
165,28,receive,0
168,28,receive,1
169,29,receive,0
172,29,receive,1
173,29,receive,1
174,30,receive,0
175,30,send,0
181,30,receive,0
182,31,receive,1
183,31,receive,1
185,32,receive,1
187,32,receive,0
191,32,receive,0
192,33,receive,0
193,33,send,0
194,33,send,0
199,34,receive,0
200,34,receive,1
201,34,receive,2
202,35,receive,3
203,35,receive,4
204,35,receive,4
205,36,receive,4
206,36,receive,4
207,36,receive,4
209,37,receive,3
211,37,receive,2
213,37,receive,1
215,38,receive,0
216,38,send,0
217,38,send,0
229,39,receive,0
230,39,internal,0
231,39,send,0
235,40,receive,0
236,40,receive,1
237,40,receive,1
239,41,receive,1
240,41,receive,1
243,41,receive,1
244,42,receive,0
247,42,receive,1
248,42,receive,0
251,43,receive,1
252,43,receive,0
253,43,send,0
254,44,send,0
260,44,receive,0
262,44,receive,0
264,45,receive,0
265,45,send,0
266,45,send,0
269,46,receive,0
271,46,receive,0
273,46,receive,0
275,47,receive,0
278,47,receive,0
280,47,receive,0
282,48,receive,0
283,48,receive,0
285,48,receive,1
286,49,receive,0
289,49,receive,1
290,49,receive,1
291,50,receive,2
293,50,receive,3
294,50,receive,3
295,51,receive,4
296,51,receive,5
297,51,receive,5
299,52,receive,5
300,52,receive,5
301,52,receive,5
302,53,receive,6
303,53,receive,6
305,53,receive,6
307,54,receive,6
309,54,receive,6
311,54,receive,6
312,55,receive,6
313,55,receive,6
315,55,receive,6
318,56,receive,7
319,56,receive,7
321,56,receive,6
323,57,receive,5
325,57,receive,5
326,57,receive,5
328,58,receive,5
329,58,receive,5
331,58,receive,5
336,59,receive,4
338,59,receive,4
340,59,receive,4
342,60,receive,4
345,60,receive,4
349,61,receive,6
