logical clock,global time,event type,queue length
2,1,receive,0
3,1,internal,0
4,2,receive,0
5,2,internal,0
10,3,receive,2
11,3,receive,2
12,4,receive,1
13,4,receive,1
17,5,receive,0
18,5,internal,0
25,6,receive,1
26,6,receive,1
28,7,receive,0
29,7,internal,0
30,8,internal,0
31,8,internal,0
40,9,receive,0
41,9,internal,0
42,10,internal,0
43,10,internal,0
44,11,send,0
45,11,send,0
55,12,receive,0
56,12,internal,0
61,13,receive,0
62,13,send,0
63,14,internal,0
64,14,send,0
65,15,receive,1
71,15,receive,1
72,16,receive,1
76,16,receive,1
77,17,receive,1
78,17,receive,0
81,18,receive,0
82,18,internal,0
83,19,internal,0
84,19,internal,0
94,20,receive,1
95,20,receive,0
101,21,receive,0
102,21,internal,0
103,22,internal,0
106,22,receive,0
107,23,internal,0
108,23,internal,0
109,24,internal,0
110,24,internal,0
111,25,internal,0
112,25,internal,0
113,26,internal,0
126,26,receive,0
127,27,internal,0
128,27,send,0
129,28,internal,0
137,28,receive,0
138,29,receive,0
142,29,receive,0
143,30,send,0
144,30,send,0
145,31,internal,0
151,31,receive,0
155,32,receive,0
156,33,internal,0
157,33,receive,0
162,34,receive,0
165,34,receive,0
166,35,internal,0
167,35,receive,0
172,36,receive,0
173,36,receive,0
175,37,receive,0
179,37,receive,0
180,38,internal,0
181,38,internal,0
182,39,internal,0
183,39,internal,0
192,40,receive,0
193,40,internal,0
194,41,internal,0
195,41,send,0
196,42,send,0
197,42,internal,0
206,43,receive,1
207,43,receive,1
209,44,receive,0
214,44,receive,0
215,45,internal,0
217,45,receive,0
218,46,internal,0
224,46,receive,0
225,47,receive,0
226,47,send,0
227,48,internal,0
232,48,receive,0
233,49,internal,0
235,49,receive,0
236,50,send,0
243,50,receive,1
244,51,receive,0
247,51,receive,0
248,52,internal,0
249,52,send,0
250,53,receive,0
251,53,send,0
252,54,internal,0
253,54,internal,0
266,55,receive,0
267,55,internal,0
268,56,internal,0
272,56,receive,0
273,57,internal,0
274,57,send,0
275,58,receive,0
276,58,internal,0
285,59,receive,0
287,59,receive,0
288,60,internal,0
289,60,send,0
290,61,internal,0
