logical clock,global time,event type,queue length
2,1,receive,1
5,2,receive,1
10,3,receive,3
12,4,receive,4
16,5,receive,4
17,6,receive,7
18,7,receive,9
20,8,receive,12
26,9,receive,15
31,10,receive,17
32,11,receive,19
34,12,receive,23
35,13,receive,26
36,15,receive,28
40,16,receive,29
41,17,receive,30
42,18,receive,31
43,19,receive,32
45,20,receive,34
46,21,receive,37
47,22,receive,40
48,23,receive,42
50,24,receive,44
52,25,receive,45
54,26,receive,48
55,27,receive,49
56,28,receive,49
61,29,receive,53
62,30,receive,54
63,31,receive,54
65,32,receive,57
66,33,receive,58
67,34,receive,58
69,35,receive,59
70,36,receive,61
71,37,receive,62
72,38,receive,64
73,39,receive,65
75,40,receive,66
78,41,receive,67
79,42,receive,68
80,43,receive,72
86,44,receive,75
87,45,receive,79
88,46,receive,81
91,47,receive,83
94,48,receive,86
97,49,receive,88
100,50,receive,91
102,51,receive,91
107,52,receive,93
109,53,receive,96
111,54,receive,99
112,55,receive,102
113,56,receive,103
114,57,receive,105
116,58,receive,109
118,59,receive,110
120,60,receive,113
121,61,receive,115
