logical clock,global time,event type,queue length
1,0,send,0
3,1,receive,0
4,1,send,0
5,1,internal,0
6,2,internal,0
10,2,receive,0
12,2,receive,1
13,3,receive,0
17,3,receive,0
18,3,internal,0
21,4,receive,0
22,4,send,0
23,4,send,0
27,5,receive,0
28,5,receive,0
29,5,internal,0
30,6,internal,0
34,6,receive,0
35,6,send,0
36,7,internal,0
37,7,internal,0
38,7,send,0
45,8,receive,0
47,8,receive,0
48,8,send,0
49,9,send,0
50,9,internal,0
51,9,internal,0
52,10,internal,0
59,10,receive,0
60,10,send,0
61,11,send,0
62,11,internal,0
63,11,internal,0
64,12,internal,0
65,12,internal,0
73,12,receive,0
74,13,internal,0
75,13,internal,0
76,13,send,0
77,14,internal,0
83,14,receive,0
84,14,internal,0
85,15,internal,0
86,15,internal,0
87,15,internal,0
88,16,send,0
89,16,internal,0
96,16,receive,0
97,17,internal,0
98,17,internal,0
99,17,send,0
100,18,send,0
101,18,internal,0
107,18,receive,0
108,19,internal,0
111,19,receive,1
112,19,receive,1
113,20,receive,1
116,20,receive,0
117,20,send,0
118,21,internal,0
123,21,receive,0
124,21,send,0
125,22,internal,0
126,22,internal,0
132,22,receive,0
133,23,send,0
134,23,internal,0
135,23,internal,0
136,24,internal,0
137,24,internal,0
138,24,internal,0
139,25,internal,0
140,25,internal,0
141,25,send,0
152,26,receive,0
153,26,send,0
154,26,internal,0
157,27,receive,0
158,27,send,0
159,27,send,0
164,28,receive,0
165,28,internal,0
166,28,send,0
167,29,send,0
168,29,internal,0
169,29,internal,0
170,30,send,0
171,30,internal,0
172,30,send,0
173,31,internal,0
174,31,internal,0
184,32,receive,0
185,32,internal,0
186,32,internal,0
187,33,internal,0
188,33,send,0
189,33,internal,0
190,34,internal,0
191,34,send,0
192,34,internal,0
193,35,internal,0
194,35,send,0
195,35,internal,0
209,36,receive,0
210,36,send,0
211,36,internal,0
212,37,send,0
217,37,receive,0
218,37,internal,0
219,38,send,0
220,38,internal,0
224,38,receive,0
225,39,send,0
228,39,receive,0
229,39,internal,0
230,40,send,0
235,40,receive,0
236,40,internal,0
237,41,internal,0
240,41,receive,0
242,41,receive,0
244,42,receive,1
245,42,receive,0
246,42,internal,0
247,43,internal,0
248,43,send,0
249,43,internal,0
256,44,receive,0
257,44,internal,0
258,44,internal,0
259,45,internal,0
265,45,receive,0
266,45,internal,0
267,46,internal,0
268,46,send,0
273,46,receive,0
274,47,send,0
275,47,internal,0
276,47,internal,0
277,48,internal,0
278,48,internal,0
279,48,internal,0
287,49,receive,0
288,49,send,0
289,49,send,0
290,50,internal,0
293,50,receive,0
294,50,internal,0
295,51,internal,0
296,51,send,0
297,51,send,0
303,52,receive,1
304,52,receive,1
305,52,receive,0
310,53,receive,0
311,53,send,0
312,53,send,0
313,54,send,0
318,54,receive,0
320,54,receive,0
321,55,internal,0
322,55,send,0
323,55,internal,0
327,56,receive,0
328,56,internal,0
329,56,internal,0
330,57,internal,0
331,57,send,0
332,57,internal,0
333,58,internal,0
334,58,internal,0
344,58,receive,0
345,59,internal,0
348,59,receive,0
349,59,send,0
350,60,internal,0
353,60,receive,0
354,60,internal,0
357,61,receive,0
