logical clock,global time,event type,queue length
1,0,internal,0
2,0,receive,0
3,1,internal,0
4,1,send,0
5,1,send,0
6,1,internal,0
7,2,internal,0
8,2,send,0
9,2,send,0
10,2,send,0
11,3,send,0
12,3,internal,0
13,3,internal,0
14,3,internal,0
15,4,send,0
16,4,send,0
17,4,receive,0
18,5,internal,0
19,5,send,0
20,5,internal,0
21,5,internal,0
22,6,internal,0
23,6,receive,0
24,6,internal,0
25,6,internal,0
26,7,send,0
27,7,internal,0
28,7,internal,0
29,7,send,0
30,8,internal,0
31,8,internal,0
32,8,internal,0
33,8,internal,0
34,9,internal,0
35,9,receive,0
36,9,send,0
37,9,internal,0
38,10,send,0
39,10,receive,0
40,10,send,0
41,10,internal,0
42,11,receive,0
43,11,internal,0
44,11,send,0
45,11,internal,0
46,12,send,0
47,12,internal,0
48,12,receive,0
49,12,internal,0
50,13,internal,0
51,13,receive,0
52,13,internal,0
53,13,receive,0
54,14,internal,0
55,14,send,0
56,14,internal,0
57,14,send,0
58,15,internal,0
59,15,send,0
60,15,send,0
61,15,internal,0
62,16,receive,0
63,16,send,0
64,16,internal,0
65,16,send,0
66,17,internal,0
67,17,internal,0
68,17,receive,0
69,17,send,0
70,18,send,0
71,18,internal,0
72,18,send,0
73,18,internal,0
74,19,internal,0
75,19,receive,0
76,19,send,0
77,19,internal,0
78,20,internal,0
79,20,internal,0
80,20,send,0
81,21,internal,0
82,21,send,0
83,21,internal,0
84,21,receive,0
85,22,internal,0
86,22,receive,0
87,22,internal,0
88,22,internal,0
89,23,receive,0
90,23,receive,0
91,23,internal,0
92,23,internal,0
93,24,receive,0
94,24,send,0
95,24,internal,0
96,24,send,0
97,25,internal,0
98,25,internal,0
99,25,send,0
100,25,internal,0
101,26,internal,0
102,26,receive,0
103,26,internal,0
104,26,receive,0
105,27,internal,0
106,27,internal,0
107,27,internal,0
108,27,send,0
109,28,internal,0
110,28,receive,0
111,28,internal,0
112,28,send,0
113,29,internal,0
114,29,internal,0
115,29,internal,0
116,29,internal,0
117,30,receive,0
118,30,internal,0
119,30,receive,0
120,30,send,0
121,31,receive,0
122,31,receive,0
123,31,receive,0
124,31,internal,0
125,32,send,0
126,32,internal,0
127,32,receive,0
128,32,internal,0
129,33,internal,0
130,33,receive,0
131,33,receive,0
132,33,internal,0
133,34,internal,0
134,34,receive,0
135,34,internal,0
136,34,internal,0
137,35,internal,0
138,35,internal,0
139,35,internal,0
140,35,send,0
141,36,send,0
142,36,internal,0
143,36,send,0
144,36,internal,0
145,37,send,0
146,37,send,0
147,37,internal,0
148,38,internal,0
149,38,send,0
150,38,send,0
151,38,send,0
152,39,receive,0
153,39,send,0
154,39,internal,0
155,39,internal,0
156,40,internal,0
157,40,internal,0
158,40,receive,0
159,40,internal,0
160,41,send,0
161,41,receive,0
162,41,internal,0
163,41,send,0
164,42,internal,0
165,42,receive,0
166,42,receive,0
167,42,receive,0
168,43,receive,0
169,43,receive,0
170,43,internal,0
171,43,receive,0
172,44,internal,0
173,44,send,0
174,44,internal,0
175,44,internal,0
176,45,receive,0
177,45,internal,0
178,45,internal,0
179,45,internal,0
180,46,receive,1
181,46,receive,1
182,46,receive,1
183,46,receive,0
184,47,send,0
185,47,internal,0
186,47,internal,0
187,47,internal,0
188,48,internal,0
189,48,receive,0
190,48,internal,0
191,48,receive,0
192,49,send,0
193,49,internal,0
194,49,internal,0
195,49,internal,0
196,50,internal,0
197,50,send,0
198,50,internal,0
199,50,internal,0
200,51,internal,0
201,51,internal,0
202,51,internal,0
203,51,internal,0
204,52,send,0
205,52,receive,0
206,52,send,0
207,52,receive,0
208,53,internal,0
209,53,internal,0
210,53,internal,0
211,54,send,0
212,54,internal,0
213,54,internal,0
214,54,internal,0
215,55,receive,0
216,55,internal,0
217,55,internal,0
218,55,receive,0
219,56,internal,0
220,56,internal,0
221,56,internal,0
222,56,receive,0
223,57,internal,0
224,57,receive,0
225,57,send,0
226,57,internal,0
227,58,internal,0
228,58,receive,0
229,58,receive,0
230,58,receive,0
231,59,internal,0
232,59,send,0
233,59,internal,0
234,59,internal,0
235,60,internal,0
236,60,send,0
237,60,internal,0
238,60,internal,0
239,61,send,0
