logical clock,global time,event type,queue length
1,0,internal,0
2,1,internal,0
6,1,receive,1
7,2,receive,0
12,2,receive,0
13,3,send,0
14,3,send,0
15,4,internal,0
16,4,internal,0
23,5,receive,1
24,5,receive,1
25,6,receive,0
30,6,receive,0
33,7,receive,0
35,7,receive,1
37,8,receive,3
38,8,receive,4
39,9,receive,3
40,9,receive,4
41,10,receive,3
42,10,receive,3
45,11,receive,3
46,11,receive,2
50,12,receive,1
54,12,receive,0
62,13,receive,0
63,13,send,0
68,14,receive,1
69,14,receive,1
71,15,receive,0
76,15,receive,1
77,16,receive,1
78,16,receive,2
80,17,receive,2
81,17,receive,2
83,18,receive,3
86,18,receive,2
88,19,receive,1
89,19,receive,1
95,20,receive,2
97,20,receive,3
98,21,receive,3
100,21,receive,2
101,22,receive,2
103,23,receive,2
109,23,receive,1
110,24,receive,0
111,24,internal,0
112,25,send,0
122,25,receive,0
126,26,receive,0
127,26,internal,0
131,27,receive,0
133,27,receive,0
135,28,receive,0
138,28,receive,0
139,29,receive,0
141,29,receive,0
144,30,receive,0
145,30,internal,0
146,31,send,0
147,31,send,0
148,32,internal,0
149,32,internal,0
150,33,internal,0
161,33,receive,1
162,34,receive,2
164,34,receive,1
165,35,receive,1
169,35,receive,3
171,36,receive,2
172,36,receive,2
173,37,receive,1
177,37,receive,0
184,38,receive,0
188,38,receive,0
189,39,internal,0
190,39,internal,0
191,40,internal,0
192,40,internal,0
193,41,internal,0
194,41,internal,0
203,42,receive,0
207,42,receive,0
208,43,internal,0
209,43,internal,0
215,44,receive,0
217,44,receive,0
220,45,receive,0
222,45,receive,1
223,46,receive,2
224,46,receive,1
225,47,receive,0
226,47,send,0
227,48,internal,0
228,48,internal,0
238,49,receive,0
239,49,internal,0
244,50,receive,0
246,50,receive,0
248,51,receive,0
249,51,internal,0
254,52,receive,0
257,52,receive,0
259,53,receive,0
260,53,internal,0
263,54,receive,1
265,54,receive,1
266,55,receive,0
267,55,internal,0
273,56,receive,1
275,56,receive,0
276,57,send,0
277,57,internal,0
283,58,receive,1
284,58,receive,1
287,59,receive,1
289,59,receive,0
290,60,internal,0
297,60,receive,0
298,61,internal,0
