logical clock,global time,event type,queue length
1,1,send,0
2,2,send,0
3,3,send,0
4,4,send,0
5,5,receive,0
6,6,receive,1
7,7,receive,1
8,8,receive,0
9,9,send,0
10,10,receive,1
11,11,receive,0
12,12,receive,0
13,13,internal,0
14,14,send,0
15,15,send,0
16,16,send,0
17,17,receive,0
18,18,send,0
19,19,internal,0
20,20,receive,0
21,21,send,0
22,22,send,0
23,23,receive,0
24,24,receive,0
25,25,send,0
26,26,receive,0
27,27,send,0
28,28,send,0
29,29,receive,0
30,30,send,0
31,31,send,0
32,32,send,0
33,33,receive,0
34,34,internal,0
35,35,send,0
36,36,send,0
37,37,send,0
38,38,send,0
39,39,send,0
40,40,send,0
41,41,send,0
42,42,send,0
43,43,send,0
44,44,internal,0
45,45,receive,0
46,46,send,0
47,47,send,0
48,49,send,0
49,50,send,0
50,51,send,0
51,52,send,0
52,53,send,0
53,54,receive,0
54,55,send,0
55,56,send,0
56,57,receive,0
57,58,internal,0
58,59,receive,0
59,60,receive,0
60,61,receive,1
