logical clock,global time,event type,queue length
1,1,send,0
2,2,internal,0
3,3,internal,0
4,4,internal,0
5,5,receive,0
6,6,internal,0
7,7,receive,0
8,8,send,0
9,9,internal,0
10,10,internal,0
11,11,receive,0
12,12,receive,0
13,13,send,0
14,14,receive,0
15,15,internal,0
16,16,send,0
17,17,send,0
18,18,receive,0
19,19,internal,0
20,20,internal,0
21,21,send,0
22,22,receive,0
23,23,internal,0
24,24,internal,0
25,25,internal,0
26,26,internal,0
27,27,receive,0
28,28,receive,0
29,29,internal,0
30,30,receive,0
31,31,receive,0
32,32,send,0
33,33,internal,0
34,34,internal,0
35,35,receive,1
36,36,receive,1
37,37,receive,0
38,38,internal,0
39,39,receive,0
40,40,internal,0
41,41,internal,0
42,42,internal,0
43,43,internal,0
44,44,receive,0
45,45,receive,0
46,46,internal,0
47,47,internal,0
48,48,internal,0
49,49,receive,0
50,50,internal,0
51,51,internal,0
52,52,internal,0
53,53,send,0
54,54,internal,0
55,55,internal,0
56,56,receive,0
57,57,internal,0
58,58,internal,0
59,59,internal,0
60,60,receive,1
61,61,receive,0
